,t,vx1,vx2,vy1,vy2
0,0.0,-0.02820287601490084,0.028194586452568518,-3.9766739896160665e-06,-0.020511811668930804
1,0.01,-0.05643460137801692,0.05636849981336344,-3.183781226401192e-05,-0.0409355664295484
2,0.02,-0.08472383992460776,0.08450072493484394,-0.00010758977589775708,-0.06118343051568035
3,0.03,-0.1130988864944307,0.112569561406164,-0.0002554817491306975,-0.08116801934332324
4,0.04,-0.14158745247766438,0.14055234814693698,-0.0005001244888169092,-0.10080264125037326
5,0.05,-0.1702165793712925,0.16842494036993602,-0.0008666068951732876,-0.12000150760416525
6,0.06,-0.19901236257048804,0.19616157722160033,-0.0013806079510888284,-0.138680023111551
7,0.07,-0.22799980745231782,0.22373450171318207,-0.0020685042235672312,-0.15675504690130776
8,0.08,-0.25720265619186083,0.25111365833891536,-0.002957471566672405,-0.17414518411983448
9,0.09,-0.28664321909977586,0.2782664057959654,-0.0040755801881235095,-0.1907710988978402
10,0.1,-0.3163422114921771,0.30515724779463416,-0.005451882214753177,-0.20655585076699856
11,0.11,-0.3463185972453936,0.33174758518834313,-0.00711649094721011,-0.2214252561796789
12,0.12,-0.3765894402959238,0.35799549297537414,-0.009100651067175124,-0.23530827630269815
13,0.13,-0.407169765488245,0.3838555259448957,-0.011436799157084237,-0.24813743169058408
14,0.14,-0.4380724302701568,0.40927855701233645,-0.014158614013446058,-0.2598492438189491
15,0.15,-0.46930800882997226,0.4342116524788423,-0.01730105638508149,-0.2703847027586077
16,0.16,-0.50088469031739,0.45859798863762447,-0.020900397946539105,-0.27968975951131303
17,0.17,-0.5328081928274596,0.4823768141768977,-0.02499423953051388,-0.28771584070210343
18,0.18,-0.5650816947633677,0.5054834629595748,-0.029621518880345612,-0.29442038246260593
19,0.19,-0.5977057851577953,0.5278494214754949,-0.03482250846335172,-0.29976737942376985
20,0.2,-0.630678434329007,0.5494024552539509,-0.040638804175385075,-0.30372794382846374
21,0.21,-0.6639949860645219,0.570066797996042,-0.047113306094896064,-0.3062808688513112
22,0.22,-0.6976481721882168,0.5897634068499364,-0.0542901927715613,-0.3074131893337829
23,0.23,-0.7316281499912911,0.608410286551093,-0.06221489087614387,-0.3071207323132425
24,0.24,-0.7659225625546031,0.6259228840108355,-0.07093404239294683,-0.30540864901609877
25,0.25,-0.8005166214748555,0.6422145485932337,-0.08049547222436962,-0.3022919205218537
26,0.26,-0.835393210094493,0.6571970791548747,-0.09094815761370527,-0.29779582483193623
27,0.27,-0.8705330064078713,0.6707813263309448,-0.10234220425173608,-0.2919563593401011
28,0.28,-0.9059146222186274,0.6828778763951644,-0.11472883036284372,-0.2848206046560551
29,0.29,-0.9415147549795613,0.69339778582474,-0.12816036379562684,-0.27644702554031486
30,0.3,-0.9773083486408795,0.7022534050915655,-0.14269025200149613,-0.2669056865193592
31,0.31,-1.0132687530823894,0.7093591453199783,-0.15837309922186515,-0.25627842759423836
32,0.32,-1.0493678885689153,0.7146324638308885,-0.17526471155006668,-0.24465888890050547
33,0.33,-1.0855763922546744,0.7179947651488643,-0.19342217401536696,-0.2321524769624442
34,0.34,-1.1218637500293018,0.7193723469341613,-0.21290395278504273,-0.21887623244864138
35,0.35000000000000003,-1.158198401043705,0.7186973721060024,-0.23377002288648951,-0.20495859055660365
36,0.36,-1.1945478068671689,0.7159088412190311,-0.25608202358513665,-0.19053904255319648
37,0.37,-1.2308784752330404,0.710953557394777,-0.27990344030075187,-0.17576769792301983
38,0.38,-1.2671559298308284,0.7037870711606442,-0.30529981205721024,-0.16080475365003669
39,0.39,-1.3033446161373874,0.6943745962213059,-0.33233896145517206,-0.14581987550998837
40,0.4,-1.3394077338524557,0.6826918865368947,-0.3610912431968734,-0.13099149965200402
41,0.41000000000000003,-1.375306986827316,0.668726066416061,-0.39162980584399115,-0.11650606447286288
42,0.42,-1.4110022392540083,0.6524764075620066,-0.4240308585082754,-0.1025571807297379
43,0.43,-1.446451081522334,0.6339550448956466,-0.4583739409005698,-0.08934476813448089
44,0.44,-1.4816082817996552,0.6131876348853753,-0.4947421775074835,-0.07707414693094394
45,0.45,-1.5164251283572652,0.5902139502728025,-0.5332225109616161,-0.06595511514751012
46,0.46,-1.5508486737690887,0.5650884143606771,-0.5739059134611032,-0.05620104414018101
47,0.47000000000000003,-1.5848207878087535,0.5378805809072076,-0.616887501094179,-0.048027889443179705
48,0.48,-1.6182771873907174,0.508675555785161,-0.6622666491547613,-0.0416533536943865
49,0.49,-1.6511462793761862,0.4775743813657052,-0.7101469833649786,-0.03729599117559956
50,0.5,-1.6833478948446612,0.4446943834097865,-0.7606362779989203,-0.03517436907627414
51,0.51,-1.714791901945249,0.41016949219372023,-0.8138462293855785,-0.03550626922087097
52,0.52,-1.7453767131440814,0.37415055162447564,-0.8698920917419524,-0.03850794401202118
53,0.53,-1.7749876622814749,0.3368056180178689,-0.9288921221389702,-0.04439339419190058
54,0.54,-1.8034952994535616,0.2983202681380617,-0.9909668399376946,-0.05337370450257306
55,0.55,-1.8307535884400679,0.2588979174059376,-1.056238044265506,-0.0656564007344953
56,0.56,-1.8565980150544903,0.21876014757336182,-1.1248275390488154,-0.08144480707939805
57,0.5700000000000001,-1.8808437425287006,0.17814710239292464,-1.1968556813016293,-0.10093751630089653
58,0.58,-1.9032835999048447,0.13731784092808863,-1.272439410184749,-0.12432769464650573
59,0.59,-1.9236861872448112,0.09655075582239636,-1.3516900227785444,-0.15180246894501037
60,0.6,-1.9417940079986913,0.05614398902043627,-1.4347104993496662,-0.18354223482577514
61,0.61,-1.9573217092874542,0.01641584080352332,-1.5215923699054283,-0.2197198933006861
62,0.62,-1.9699544911110938,-0.022294852058465375,-1.6124120839864506,-0.260499996668337
63,0.63,-1.979346796534506,-0.059628406354159225,-1.707226762201521,-0.30603763484987834
64,0.64,-1.9851213019959568,-0.09520407101312123,-1.806069578568849,-0.35647745836271305
65,0.65,-1.9868683603077981,-0.12861998615829084,-1.908944380642053,-0.41195231438868896
66,0.66,-1.9841460477777761,-0.15945336409557487,-2.015819722404564,-0.472581673448202
67,0.67,-1.976480919946177,-0.1872609802691667,-2.1266223280553094,-0.538469885227226
68,0.68,-1.963369655767393,-0.21158007190616424,-2.241229983152488,-0.6097041886807046
69,0.6900000000000001,-1.9442817732216828,-0.23192975627600587,-2.359463923793829,-0.6863524749405892
70,0.7000000000000001,-1.9186636094768517,-0.24781310085421393,-2.4810808264416426,-0.7684608107797508
