,t,x1,x2,y1,y2
0,0.0,-0.0001410024264186221,-0.3418791619547977,0.9999999900591579,0.060204783473086665
1,0.01,-0.000564154019344362,-0.34145632107010937,0.9999998408651085,0.05989743663276459
2,0.02,-0.0012698868375553877,-0.3407519320821897,0.9999991936933849,0.05938665871603299
3,0.03,-0.0022589178834913457,-0.339766519692058,0.9999974486417431,0.0586746460275549
4,0.04,-0.0035322435716773856,-0.3385008286083046,0.9999937616082164,0.05776446518480338
5,0.05,-0.005091135465318158,-0.3369558397150746,0.9999870400858571,0.056660045839841855
6,0.06,-0.00693713050194954,-0.3351327822600109,0.9999759378207053,0.0553661696269282
7,0.07,-0.009072021263333622,-0.33303315281075563,0.9999588483683705,0.053888457093749786
8,0.08,-0.011497844207764746,-0.3306587367431036,0.9999338976045237,0.0522333517167175
9,0.09,-0.014216866191470846,-0.3280116326780399,0.9998989352508051,0.05040810089502279
10,0.1,-0.017231569329566227,-0.3250942797024527,0.9998515254868796,0.048420733699132024
11,0.11,-0.020544634258558896,-0.32190948717886464,0.9997889367277386,0.046280035130945696
12,0.12,-0.024158921872431665,-0.3184604669112897,0.999708130653123,0.04399551663793644
13,0.13,-0.0280774536193117,-0.3147508674012149,0.9996057505828262,0.041577382615243685
14,0.14,-0.03230339045920948,-0.3107848098862702,0.9994781092974673,0.0390364926263187
15,0.15,-0.03684001059977207,-0.30656692581491674,0.9993211764087704,0.036384319076721794
16,0.16,-0.041690686141536946,-0.3021023953632762,0.9991305653862501,0.033632900086011164
17,0.17,-0.04685885878458273,-0.29739698656471897,0.9989015203479302,0.030794787322886097
18,0.18,-0.052348014757077926,-0.2924570945584942,0.998628902721623,0.027882988593256886
19,0.19,-0.05816165915398288,-0.28728978044769504,0.998307177878861,0.024910905011323314
20,0.2,-0.06430328987557168,-0.2819028091804525,0.9979304018373116,0.021892262624358172
21,0.21,-0.07077637138019936,-0.27630468585758616,0.997492208117062,0.018841038420686296
22,0.22,-0.07758430846555057,-0.27050468980616454,0.9969857948235382,0.01577138071039852
23,0.23,-0.08473042030326841,-0.2645129057364245,0.9964039120132113,0.012697523942321043
24,0.24,-0.09221791497873236,-0.2583402513371572,0.9957388493761682,0.009633698105362631
25,0.25,-0.10004986522754529,-0.25199850211993946,0.9949824242005233,0.006594033057373827
26,0.26,-0.10822918392547189,-0.24550030765894254,0.9941259697577699,0.003592457659895354
27,0.27,-0.1167586018805514,-0.23885920564093738,0.9931603238585898,0.0006425947668877718
28,0.28,-0.12564064582619994,-0.23208962589350463,0.9920758177258305,-0.0022423479749830166
29,0.29,-0.13487761892577996,-0.2252068907085186,0.9908622648546629,-0.005049690420099395
30,0.3,-0.14447158019013384,-0.21822719786151823,0.9895089501956845,-0.007767395087764251
31,0.31,-0.15442433499298933,-0.21116763023367519,0.9880046177837293,-0.01038418345816583
32,0.32,-0.16473741221047072,-0.20404610255195127,0.9863374600096041,-0.01288965474641457
33,0.33,-0.17541205286820635,-0.1968813338442097,0.9844951049693247,-0.015274403454678676
34,0.34,-0.1864491988922704,-0.18969280695329438,0.9824646030429954,-0.017530136446541333
35,0.35000000000000003,-0.19784948183351564,-0.18250071352365838,0.9802324125115479,-0.019649788205801766
36,0.36,-0.20961321277503012,-0.17532589045733965,0.9777843837115267,-0.021627633190553053
37,0.37,-0.22174037258993518,-0.16818974618118296,0.9751057415294389,-0.023459394258522726
38,0.38,-0.23423060234525775,-0.16111417806378592,0.9721810659156954,-0.02514234627329548
39,0.39,-0.24708319306439314,-0.15412148040416745,0.9689942702127313,-0.026675413959322603
40,0.4,-0.260297074170889,-0.14723424337583704,0.9655285770903287,-0.02805926315964613
41,0.41000000000000003,-0.27387079983527945,-0.14047524337340062,0.9617664919290879,-0.029296384742329762
42,0.42,-0.2878025318667426,-0.13386732373251642,0.9576897737008017,-0.030391170198367234
43,0.43,-0.3020900203128476,-0.12743327331420498,0.9532794027080326,-0.03134997971352205
44,0.44,-0.316730577485249,-0.12119569245382664,0.9485155461487496,-0.03218120042266048
45,0.45,-0.33172104653867757,-0.11517685471339054,0.9433775210822466,-0.032895295801811275
46,0.46,-0.3470577661385697,-0.1093985728593124,0.9378437540245741,-0.033504848614999694
47,0.47000000000000003,-0.36273651454241107,-0.10388202142024061,0.9318917431856681,-0.03402458413801068
48,0.48,-0.3787524615297345,-0.0986476108489272,0.9254980134420424,-0.03447139889622719
49,0.49,-0.39510009844140026,-0.09371482103503975,0.9186380746581299,-0.03486437136007048
50,0.5,-0.41177315878535736,-0.08910204004489325,0.9112863796326207,-0.03522476617115555
51,0.51,-0.42876452544968513,-0.08482639926696345,0.9034162837340859,-0.035576030056563956
52,0.52,-0.4460661254154624,-0.08090360971910487,0.8950000065680653,-0.03594378181569491
53,0.53,-0.46366880518815634,-0.07734778666456243,0.8860085998992264,-0.03635579156810087
54,0.54,-0.48156219291605207,-0.0741712787166039,0.8764119204768287,-0.036841956069960324
55,0.55,-0.49973454071875417,-0.07138448933224878,0.8661786125347449,-0.0374342655702421
56,0.56,-0.5181725436056154,-0.06899568675799184,0.8552761045728372,-0.03816675944952963
57,0.5700000000000001,-0.5368611626476575,-0.0670108507682658,0.8436706063628182,-0.03907549780691322
58,0.58,-0.5557833942951642,-0.0654334541408273,0.8313271429622312,-0.040198494176825195
59,0.59,-0.574920044020485,-0.06426428331642953,0.8182095959981669,-0.041575664435950066
60,0.6,-0.5942494747734522,-0.06350124313094441,0.8042807729465352,-0.04324876318087956
61,0.61,-0.6137473375707597,-0.06313915789521507,0.7895025051415631,-0.04526131323725424
