,t,x
0,0.0,-1.0
1,0.01,-0.9801493354116764
2,0.02,-0.9605946998406202
3,0.03,-0.941332167542053
4,0.04,-0.9223578615862302
5,0.05,-0.9036679532756783
6,0.06,-0.8852586615691937
7,0.07,-0.8671262525125318
8,0.08,-0.8492670386757049
9,0.09,-0.8316773785968177
10,0.1,-0.8143536762323635
11,0.11,-0.7972923804139102
12,0.12,-0.7804899843110986
13,0.13,-0.7639430249008883
14,0.14,-0.747648082442973
15,0.15,-0.7316017799612992
16,0.16,-0.7158007827316175
17,0.17,-0.7002417977749984
18,0.18,-0.684921573357243
19,0.19,-0.6698368984941234
20,0.2,-0.6549846024623854
21,0.21,-0.6403615543164478
22,0.22,-0.6259646624107332
23,0.23,-0.6117908739275673
24,0.24,-0.5978371744105806
25,0.25,-0.5841005873035536
26,0.26,-0.570578173494639
27,0.27,-0.5572670308659028
28,0.28,-0.5441642938481224
29,0.29,-0.5312671329807813
30,0.3,-0.5185727544772025
31,0.31,-0.5060783997947595
32,0.32,-0.49378134521010986
33,0.33,-0.4816789013993905
34,0.34,-0.46976841302332234
35,0.35000000000000003,-0.45804725831716375
36,0.36,-0.4465128486854599
37,0.37,-0.43516262830153346
38,0.38,-0.4239940737116606
39,0.39,-0.4130046934438804
40,0.4,-0.40219202762138356
41,0.41000000000000003,-0.39155364758042843
42,0.42,-0.3810871554927329
43,0.43,-0.3707901839922904
44,0.44,-0.3606603958065592
45,0.45,-0.3506954833919753
46,0.46,-0.34089316857374
47,0.47000000000000003,-0.3312512021898314
48,0.48,-0.32176736373919324
49,0.49,-0.31243946103405223
50,0.5,-0.3032653298563167
51,0.51,-0.2942428336180103
52,0.52,-0.2853698630256933
53,0.53,-0.2766443357488269
54,0.54,-0.2680641960920352
55,0.55,-0.25962741467121897
56,0.56,-0.2513319880934785
57,0.5700000000000001,-0.2431759386408009
58,0.58,-0.23515731395746886
59,0.59,-0.2272741867411479
60,0.6,-0.21952465443761054
61,0.61,-0.21190683893905493
62,0.62,-0.20441888628597632
63,0.63,-0.19705896637255194
64,0.64,-0.18982527265549748
65,0.65,-0.1827160218663556
66,0.66,-0.1757294537271777
67,0.67,-0.168863830669559
68,0.68,-0.16211743755698865
69,0.6900000000000001,-0.15548858141047717
70,0.7000000000000001,-0.1489755911374228
71,0.71,-0.14257681726367988
72,0.72,-0.13629063166879207
73,0.73,-0.13011542732435466
74,0.74,-0.12404961803546893
75,0.75,-0.1180916381852537
76,0.76,-0.11223994248237823
77,0.77,-0.10649300571158243
78,0.78,-0.10084932248714917
79,0.79,-0.09530740700929469
80,0.8,-0.08986579282344431
81,0.81,-0.08452303258235877
82,0.8200000000000001,-0.07927769781107985
83,0.8300000000000001,-0.07412837867466099
84,0.84,-0.06907368374865275
85,0.85,-0.06411223979230901
86,0.86,-0.05924269152448486
87,0.87,-0.05446370140219309
88,0.88,-0.04977394940178975
89,0.89,-0.045172132802758
90,0.9,-0.04065696597405988
91,0.91,-0.03622718016302723
92,0.92,-0.03188152328676114
93,0.93,-0.027618759726012077
94,0.9400000000000001,-0.023437670121511267
95,0.9500000000000001,-0.01933705117272505
96,0.96,-0.015315715439004507
97,0.97,-0.01137249114310196
98,0.98,-0.007506221977027994
99,0.99,-0.003715766910220464
100,1.0,0.0
101,1.01,0.003642189795715234
102,1.02,0.007211898803461569
103,1.03,0.010710208817074407
104,1.04,0.0141381872783512
105,1.05,0.017496887455557775
106,1.06,0.02078734861980347
107,1.07,0.02401059621930951
108,1.08,0.027167642051595164
109,1.09,0.030259484433606043
110,1.1,0.03328710836980797
111,1.11,0.036251485718270804
112,1.12,0.03915357535476477
113,1.1300000000000001,0.04199432333489289
114,1.1400000000000001,0.04477466305428257
115,1.1500000000000001,0.047495515406858035
116,1.16,0.05015778894121681
117,1.17,0.05276238001513245
118,1.18,0.05531017294820362
119,1.19,0.05780204017267376
120,1.2,0.06023884238244043
121,1.21,0.06262142868027631
122,1.22,0.0649506367232831
123,1.23,0.06722729286659768
124,1.24,0.06945221230537213
125,1.25,0.07162619921504754
126,1.26,0.0737500468899403
127,1.27,0.07582453788016252
128,1.28,0.07785044412689435
129,1.29,0.07982852709602817
130,1.3,0.0817595379102038
131,1.31,0.08364421747925294
132,1.32,0.08548329662907211
133,1.33,0.08727749622894193
134,1.34,0.08902752731731084
135,1.35,0.09073409122606207
136,1.36,0.09239787970328012
137,1.37,0.09401957503453612
