,t,x
203,2.0300000000000002,-0.2666111079314409
204,2.04,-0.26525857019198884
205,2.05,-0.26390655235499866
206,2.06,-0.2625551779833307
207,2.07,-0.26120456812943027
208,2.08,-0.2598548413730514
209,2.09,-0.2585061138584806
210,2.1,-0.257158499331262
211,2.11,-0.2558121091744353
212,2.12,-0.25446705244428824
213,2.13,-0.2531234359056326
214,2.14,-0.25178136406660745
215,2.15,-0.25044093921301847
216,2.16,-0.24910226144221503
217,2.17,-0.2477654286965152
218,2.18,-0.24643053679618068
219,2.19,-0.24509767947195024
220,2.2,-0.24376694839713453
221,2.21,-0.2424384332192802
222,2.22,-0.2411122215914067
223,2.23,-0.23978839920282274
224,2.24,-0.2384670498095263
225,2.25,-0.23714825526419475
226,2.2600000000000002,-0.23583209554576892
227,2.27,-0.23451864878863746
228,2.2800000000000002,-0.2332079913114254
229,2.29,-0.231900197645393
230,2.3000000000000003,-0.23059534056244854
231,2.31,-0.22929349110278147
232,2.32,-0.22799471860211876
233,2.33,-0.22669909071861133
234,2.34,-0.2254066734593537
235,2.35,-0.2241175312065416
236,2.36,-0.22283172674327353
237,2.37,-0.22154932127899857
238,2.38,-0.22027037447461703
239,2.39,-0.21899494446723658
240,2.4,-0.21772308789459002
241,2.41,-0.2164548599191168
242,2.42,-0.21519031425171495
243,2.43,-0.21392950317516532
244,2.44,-0.21267247756723437
245,2.45,-0.21141928692345774
246,2.46,-0.21016997937961024
247,2.47,-0.20892460173386482
248,2.48,-0.207683199468646
249,2.49,-0.20644581677217994
250,2.5,-0.205212496559747
251,2.5100000000000002,-0.20398328049463813
252,2.52,-0.20275820900882174
253,2.5300000000000002,-0.201537321323322
254,2.54,-0.20032065546831437
255,2.5500000000000003,-0.1991082483029405
256,2.56,-0.19790013553484734
257,2.57,-0.19669635173945257
258,2.58,-0.19549693037894134
259,2.59,-0.19430190382099685
260,2.6,-0.1931113033572681
261,2.61,-0.19192515922157902
262,2.62,-0.19074350060788126
263,2.63,-0.18956635568795482
264,2.64,-0.18839375162885919
265,2.65,-0.18722571461013843
266,2.66,-0.18606226984078325
267,2.67,-0.1849034415759538
268,2.68,-0.18374925313346482
269,2.69,-0.18259972691003828
270,2.7,-0.18145488439732435
271,2.71,-0.18031474619769566
272,2.72,-0.17917933203981604
273,2.73,-0.17804866079398815
274,2.74,-0.17692275048728162
275,2.75,-0.17580161831844582
276,2.7600000000000002,-0.17468528067260836
277,2.77,-0.17357375313576423
278,2.7800000000000002,-0.17246705050905606
279,2.79,-0.17136518682285035
280,2.8000000000000003,-0.17026817535061028
281,2.81,-0.16917602862256967
282,2.82,-0.168088758439209
283,2.83,-0.1670063758845374
284,2.84,-0.16592889133918234
285,2.85,-0.1648563144932896
286,2.86,-0.16378865435923665
287,2.87,-0.1627259192841606
288,2.88,-0.16166811696230513
289,2.89,-0.16061525444718605
290,2.9,-0.15956733816358096
291,2.91,-0.1585243739193425
292,2.92,-0.15748636691703957
293,2.93,-0.15645332176542748
294,2.94,-0.15542524249075007
295,2.95,-0.15440213254787555
296,2.96,-0.15338399483126847
297,2.97,-0.15237083168579976
298,2.98,-0.15136264491739754
299,2.99,-0.1503594358035397
300,3.0,-0.14936120510359183
301,3.0100000000000002,-0.1483679530689911
302,3.02,-0.14737967945327915
303,3.0300000000000002,-0.14639638352198536
304,3.04,-0.14541806406236304
305,3.0500000000000003,-0.1444447193929798
306,3.06,-0.14347634737316478
307,3.0700000000000003,-0.14251294541231396
308,3.08,-0.14155451047905615
309,3.09,-0.14060103911028066
310,3.1,-0.13965252742002918
311,3.11,-0.1387089711082538
312,3.12,-0.13777036546944174
313,3.13,-0.13683670540111045
314,3.14,-0.13590798541217292
315,3.15,-0.13498419963117658
316,3.16,-0.13406534181441598
317,3.17,-0.1331514053539224
318,3.18,-0.13224238328533067
319,3.19,-0.1313382682956261
320,3.2,-0.1304390527307719
321,3.21,-0.12954472860321997
