x,y,z
-0.401651748,-0.930870469,5.55E-05
-0.393881671,-0.934282474,5.56E-05
-0.386083637,-0.937628164,5.58E-05
-0.378258206,-0.940907318,5.60E-05
-0.37040594,-0.944119723,5.61E-05
-0.362527403,-0.947265165,5.63E-05
-0.354623161,-0.950343441,5.65E-05
-0.34669378,-0.953354348,5.66E-05
-0.338739829,-0.95629769,5.68E-05
-0.330761877,-0.959173276,5.69E-05
-0.322760494,-0.961980917,5.70E-05
-0.314736254,-0.964720431,5.72E-05
-0.306689731,-0.96739164,5.73E-05
-0.298621497,-0.969994372,5.74E-05
-0.290532131,-0.972528458,5.76E-05
-0.282422208,-0.974993735,5.77E-05
-0.274292307,-0.977390043,5.78E-05
-0.266143009,-0.979717228,5.79E-05
-0.257974892,-0.981975141,5.80E-05
-0.249788538,-0.984163637,5.81E-05
-0.241584531,-0.986282576,5.82E-05
-0.233363453,-0.988331824,5.83E-05
-0.225125888,-0.990311249,5.84E-05
-0.216872423,-0.992220727,5.85E-05
-0.208603642,-0.994060135,5.86E-05
-0.200320133,-0.995829359,5.87E-05
-0.192022483,-0.997528287,5.87E-05
-0.183711281,-0.999156812,5.88E-05
-0.175387116,-1.000714833,5.89E-05
-0.167050577,-1.002202252,5.90E-05
-0.158702254,-1.003618978,5.90E-05
-0.150342739,-1.004964924,5.91E-05
-0.141972623,-1.006240005,5.91E-05
-0.133592497,-1.007444146,5.92E-05
-0.125202955,-1.008577273,5.92E-05
-0.116804588,-1.009639317,5.92E-05
-0.108397991,-1.010630215,5.93E-05
-0.099983757,-1.01154991,5.93E-05
-0.091562479,-1.012398346,5.93E-05
-0.083134752,-1.013175475,5.94E-05
-0.07470117,-1.013881253,5.94E-05
-0.066262329,-1.01451564,5.94E-05
-0.057818822,-1.015078602,5.94E-05
-0.049371246,-1.015570109,5.94E-05
-0.040920194,-1.015990136,5.94E-05
-0.032466263,-1.016338662,5.94E-05
-0.024010047,-1.016615673,5.94E-05
-0.015552142,-1.016821158,5.94E-05
-0.007093143,-1.016955111,5.94E-05
0.001366355,-1.01701753,5.93E-05
0.009825757,-1.01700842,5.93E-05
0.018284468,-1.01692779,5.93E-05
0.026741894,-1.016775652,5.92E-05
0.035197439,-1.016552024,5.92E-05
0.043650509,-1.01625693,5.92E-05
0.052100512,-1.015890398,5.91E-05
0.060546852,-1.015452458,5.91E-05
0.068988936,-1.01494315,5.90E-05
0.077426172,-1.014362514,5.90E-05
0.085857968,-1.013710597,5.89E-05
0.09428373,-1.012987452,5.88E-05
0.102702869,-1.012193133,5.88E-05
0.111114791,-1.011327702,5.87E-05
0.119518908,-1.010391225,5.86E-05
0.127914629,-1.009383773,5.85E-05
0.136301365,-1.008305419,5.84E-05
0.144678528,-1.007156244,5.84E-05
0.153045529,-1.005936333,5.83E-05
0.161401782,-1.004645775,5.82E-05
0.169746701,-1.003284664,5.81E-05
0.178079699,-1.001853099,5.79E-05
0.186400192,-1.000351182,5.78E-05
0.194707596,-0.998779023,5.77E-05
0.203001329,-0.997136733,5.76E-05
0.211280808,-0.995424431,5.75E-05
0.219545453,-0.993642238,5.74E-05
0.227794683,-0.99179028,5.72E-05
0.236027921,-0.989868691,5.71E-05
0.244244587,-0.987877604,5.69E-05
0.252444105,-0.985817162,5.68E-05
0.260625901,-0.983687509,5.67E-05
0.268789398,-0.981488794,5.65E-05
0.276934025,-0.979221174,5.63E-05
0.28505921,-0.976884806,5.62E-05
0.293164382,-0.974479855,5.60E-05
0.301248971,-0.972006487,5.59E-05
0.30931241,-0.969464878,5.57E-05
0.317354133,-0.966855202,5.55E-05
0.325373574,-0.964177644,5.53E-05
0.33337017,-0.961432388,5.51E-05
0.341343358,-0.958619626,5.50E-05
0.349292579,-0.955739553,5.48E-05
0.357217273,-0.952792369,5.46E-05
0.365116882,-0.949778279,5.44E-05
0.372990851,-0.946697492,5.42E-05
0.380838627,-0.943550221,5.40E-05
0.388659655,-0.940336683,5.38E-05
0.396453387,-0.937057101,5.35E-05
0.404219272,-0.933711702,5.33E-05
0.411956764,-0.930300718,5.31E-05
0.419665317,-0.926824382,5.29E-05
0.427344388,-0.923282936,5.27E-05
0.434993436,-0.919676623,5.24E-05
0.44261192,-0.916005693,5.22E-05
0.450199304,-0.912270398,5.19E-05
0.457755051,-0.908470995,5.17E-05
0.465278628,-0.904607747,5.15E-05
0.472769503,-0.90068092,5.12E-05
0.480227147,-0.896690783,5.10E-05
0.487651032,-0.892637611,5.07E-05
