,t,x
97,0.97,-0.7395415287592585
98,0.98,-0.7120327163983101
99,0.99,-0.6833848035833362
100,1.0,-0.6536436208636119
101,1.01,-0.6228567477870415
102,1.02,-0.5910734367830314
103,1.03,-0.55834453436911
104,1.04,-0.5247223998073464
105,1.05,-0.4902608213406994
106,1.06,-0.4550149301433047
107,1.07,-0.41904111212235556
108,1.08,-0.38239691771268025
109,1.09,-0.3451409698083231
110,1.1,-0.30733286997841935
111,1.11,-0.26903310311739903
112,1.12,-0.23030294068205867
113,1.1300000000000001,-0.19120434267030076
114,1.1400000000000001,-0.1517998584983547
115,1.1500000000000001,-0.11215252693505398
116,1.16,-0.07232577525325448
117,1.17,-0.03238331775972473
118,1.18,0.007610946134147902
119,1.19,0.047593034137787815
120,1.2,0.0874989834394464
121,1.21,0.12726495303305616
122,1.22,0.1668273258502217
123,1.23,0.20612281053395834
124,1.24,0.24508854269136174
125,1.25,0.28366218546322625
126,1.26,0.3217820292497218
127,1.27,0.3593870904325897
128,1.28,0.39641720893592247
129,1.29,0.43281314446945207
130,1.3,0.4685166713003771
131,1.31,0.5034706714021142
132,1.32,0.5376192258309563
133,1.33,0.5709077041844536
134,1.34,0.6032828519984039
135,1.35,0.6346928759426347
136,1.36,0.6650875266792828
137,1.37,0.6944181792510162
138,1.3800000000000001,0.7226379108705923
139,1.3900000000000001,0.7497015759873078
140,1.4000000000000001,0.7755658785102502
141,1.41,0.8001894410728057
142,1.42,0.823532871227622
143,1.43,0.8455588244661169
144,1.44,0.8662320639617282
145,1.45,0.8855195169413189
146,1.46,0.9033903275945588
147,1.47,0.9198159064366391
148,1.48,0.934769976045349
149,1.49,0.9482286130993458
150,1.5,0.960170286650366
151,1.51,0.9705758925681492
152,1.52,0.9794287841029711
153,1.53,0.9867147985168921
154,1.54,0.9924222797411169
155,1.55,0.9965420970232175
156,1.56,0.9990676595343903
157,1.57,0.9999949269133752
158,1.58,0.9993224157301724
159,1.59,0.9970512018592137
160,1.6,0.9931849187581926
161,1.61,0.9877297516553079
162,1.62,0.9806944276542172
163,1.6300000000000001,0.9720902017725331
164,1.6400000000000001,0.9619308389361962
