,t,x
129,1.29,-6.925010311511233
130,1.3,-7.496266740806034
131,1.31,-8.055530742433827
132,1.32,-8.601907613295301
133,1.33,-9.134523266951257
134,1.34,-9.652525631974463
135,1.35,-10.155086015082155
136,1.36,-10.641400426868525
137,1.37,-11.11069086801626
138,1.3800000000000001,-11.562206573929476
139,1.3900000000000001,-11.995225215796925
140,1.4000000000000001,-12.409054056164003
141,1.41,-12.80303105716489
142,1.42,-13.176525939641952
143,1.43,-13.52894119145787
144,1.44,-13.859713023387652
145,1.45,-14.168312271061103
146,1.46,-14.454245241512941
147,1.47,-14.717054502986226
148,1.48,-14.956319616725583
149,1.49,-15.171657809589533
150,1.5,-15.362724586405855
151,1.51,-15.529214281090388
152,1.52,-15.670860545647537
153,1.53,-15.787436776270274
154,1.54,-15.87875647585787
155,1.55,-15.94467355237148
156,1.56,-15.985082552550244
157,1.57,-15.999918830614003
158,1.58,-15.989158651682759
159,1.59,-15.95281922974742
160,1.6,-15.890958700131081
161,1.61,-15.803676026484926
162,1.62,-15.691110842467475
163,1.6300000000000001,-15.55344322836053
164,1.6400000000000001,-15.39089342297914
165,1.6500000000000001,-15.203721471336468
166,1.6600000000000001,-14.992226808627262
167,1.67,-14.7567477811954
168,1.68,-14.497661105251922
169,1.69,-14.215381264209464
170,1.7,-13.910359845597204
171,1.71,-13.58308481861716
172,1.72,-13.234079753497547
173,1.73,-12.863902983892114
174,1.74,-12.4731467136654
175,1.75,-12.062436069492874
176,1.76,-11.632428100791614
177,1.77,-11.183810728581403
178,1.78,-10.717301644957839
179,1.79,-10.233647164938091
180,1.8,-9.733621032516073
181,1.81,-9.218023182837104
182,1.82,-8.68767846247233
183,1.83,-8.143435309840163
184,1.84,-7.586164397885799
185,1.85,-7.016757241190246
186,1.86,-6.436124769737165
187,1.87,-5.8451958716192305
188,1.8800000000000001,-5.24491590701532
189,1.8900000000000001,-4.636245195815905
190,1.9000000000000001,-4.020157481316078
191,1.9100000000000001,-3.3976383724340016
192,1.92,-2.769683766946908
193,1.93,-2.1372982582670437
194,1.94,-1.501493528306597
195,1.95,-0.863286729002396
196,1.96,-0.22369885508980458
197,1.97,0.41624688927105324
198,1.98,1.055526727403678
199,1.99,1.6931179479394827
200,2.0,2.3280005409378166
201,2.0100000000000002,2.9591588296842923
202,2.02,3.5855830955567947
203,2.0300000000000002,4.206271193360033
204,2.04,4.820230154543865
205,2.05,5.426477775741352
206,2.06,6.024044190084533
207,2.07,6.611973418784441
208,2.08,7.189324900493421
209,2.09,7.755174996002435
210,2.1,8.308618465866969
211,2.11,8.848769918596833
212,2.12,9.374765227093873
213,2.13,9.885762911070794
214,2.14,10.380945483240302
215,2.15,10.8595207571202
216,2.16,11.320723114362933
217,2.17,11.763814729581462
218,2.18,12.188086750712646
219,2.19,12.592860433029177
220,2.2,12.977488224986496
221,2.21,13.34135480416699
222,2.22,13.683878061664734
223,2.23,14.004510033335432
224,2.24,14.302737776422278
225,2.25,14.578084190154831
226,2.2600000000000002,14.830108779008583
227,2.27,15.058408357403719
228,2.2800000000000002,15.262617694716143
229,2.29,15.442410099568471
230,2.3000000000000003,15.597497942466624
231,2.31,15.72763311594559
232,2.32,15.832607431488503
233,2.33,15.912252952583822
234,2.34,15.966442263387925
235,2.35,15.995088672563304
236,2.36,15.998146351966179
237,2.37,15.975610409961778
238,2.38,15.9275168992499
239,2.39,15.853942759188275
240,2.4,15.755005692706032
241,2.41,15.630863978004083
242,2.42,15.481716215343809
243,2.43,15.30780100932896
244,2.44,15.109396587189247
245,2.45,14.886820353676052
246,2.46,14.640428383282622
247,2.47,14.370614850600743
248,2.48,14.077811399725586
249,2.49,13.762486453717115
250,2.5,13.425144465223239
