,r,theta
0,2.999916668287045,1.5641295366697938
1,2.999666692593103,1.5574620057545685
2,2.999250131255813,1.5507929930615834
3,2.9986670815141427,1.5441217572082155
4,2.99791767952275,1.5374475562194818
5,2.997002100372081,1.5307696473308021
6,2.9959205581142485,1.5240872867909538
7,2.9946733057946515,1.5173997296652655
8,2.993260635489383,1.5107062296391038
9,2.9916828783484233,1.5040060388217087
10,2.989940404644633,1.4972984075504372
11,2.988033623828566,1.4905825841954745
12,2.985962984589106,1.4838578149650823
13,2.9837289749199627,1.4771233437114542
14,2.981332122192027,1.4703784117372525
15,2.9787729932316274,1.463622257602911
16,2.9760521944046716,1.4568541169347884
17,2.9731703717067473,1.4500732222342705
18,2.9701282108591336,1.4432788026879173
19,2.966926437410812,1.4364700839787719
20,2.963565816846451,1.4296462880989411
21,2.960047154700396,1.4228066331635834
22,2.95637129667669,1.4159503332264318
23,2.952539128775131,1.4090765980970075
24,2.948551577423385,1.4021846331596757
25,2.9444096096151644,1.395273639194718
26,2.940114233054485,1.3883428122016033
27,2.9356664963059993,1.38139134322465
28,2.9310674889514177,1.3744184181812957
29,2.9263183417520042,1.3674232176931929
30,2.9214202268171445,1.3604049169203765
31,2.916374357778975,1.3533626853987604
32,2.9111819899730436,1.3462956868812357
33,2.905844420624979,1.339203079182669
34,2.900362989043134,1.3320840140291113
35,2.8947390768171553,1.3249376369115542
36,2.888974108022426,1.3177630869445893
37,2.883069549430305,1.3105594967303495
38,2.877026910724106,1.3033259922281382
39,2.8708477447206975,1.2960616926301705
40,2.864533647597639,1.2887657102438876
41,2.8580862591257232,1.2814371503813218
42,2.8515072629067824,1.274075111256026
43,2.8447983866166067,1.266678683888112
44,2.837961402252797,1.2592469520179659
45,2.8309981263873443,1.2517789920292541
46,2.8239104204237333,1.2442738728818545
47,2.8167001908582923,1.2367306560553923
48,2.8093693895455503,1.229148395504094
49,2.8019200139672704,1.2215261376237139
50,2.794354107504832,1.2138629212313181
51,2.786673759714607,1.2061577775587697
52,2.7788811066059163,1.1984097302607823
53,2.770978330921112,1.1906177954384658
54,2.7629676624173403,1.182780981679331
55,2.754851378149424,1.174898290114765
56,2.7466318027533094,1.1669687144960328
57,2.7383113087294664,1.1589912412899235
58,2.7298923167255524,1.150964849795191
59,2.7213772958176317,1.1428885122810066
60,2.7127687637891507,1.134761194148683
61,2.704069287406841,1.1265818541179866
62,2.6952814826926192,1.1183494444394033
63,2.6864080151905236,1.1100629111337854
64,2.677451600227625,1.1017211942608518
65,2.6684150031677856,1.093323228218071
66,2.6593010396570658,1.0848679420715128
67,2.650112575859477,1.0763542599203018
68,2.6408525286817106,1.0677811012963598
69,2.6315238659853732,1.0591473816011783
70,2.622129606785144,1.0504520125814019
71,2.6126728214312185,1.0416939028450578
72,2.603156631774234,1.0328719584203079
73,2.593584211310821,1.0239850833586355
74,2.5839587853077797,1.01503218038442
75,2.57428363090277,1.0060121515928842
76,2.5645620771792923,0.9969238991984177
77,2.5547975052136063,0.9877663263353124
78,2.5449933480911064,0.9785383379129451
79,2.5351530908895383,0.9692388415274585
80,2.5252802706263267,0.9598667484319815
81,2.515378476167124,0.9504209745674184
82,2.505451348092565,0.9409004416558133
83,2.4955025785200706,0.9313040783582563
84,2.485535910877408,0.9216308214992508
85,2.4755551396245634,0.9118796173593954
86,2.4655641099203462,0.9020494230381567
87,2.455566717230017,0.8921392078884065
88,2.4455669068700696,0.8821479550242856
89,2.4355686734861903,0.8720746629038185
90,2.42557606046026,0.8619183469875477
91,2.415593159242166,0.8516780414742712
92,2.4056241086020584,0.8413528011147698
93,2.395673093798571,0.8309417031041739
94,2.3857443456584453,0.8204438490533641
95,2.375842139562886,0.8098583670395129
96,2.365970794335928,0.7991844137355628
97,2.356134671029993,0.7884211766180829
98,2.346338171603831,0.7775678762525725
99,2.336585737487958,0.7666237686548647
100,2.3268818480327376,0.75558814772684
101,2.3172310188342724,0.7444603477641824
102,2.3076377999332984,0.7332397460333904
103,2.2981067738823846,0.7219257654147179
104,2.2886425536768202,0.7105178771071297
105,2.279249780544737,0.69901560339075
106,2.2699331215921803,0.6874185204416342
107,2.260697267299067,0.6757262611930199
108,2.2515469288622225,0.6639385182365166
109,2.2424868353820133,0.652055046755958
110,2.233521730889399,0.6400756674859072
111,2.2246563712106866,0.6280002696860294
112,2.215895520667658,0.6158288141217821
113,2.2072439486112847,0.6035613360410811
114,2.198706425787772,0.5911979481358255
115,2.190287720536304,0.5787388434763864
116,2.1819925948184946,0.566184298406399
117,2.173825800080287,0.5535346753844608
118,2.165792072947811,0.5407904257586288
119,2.1578961307595153,0.527952092458936
120,2.150142666937772,0.5150203125925352
121,2.1425363462040883,0.5019958199255076
122,2.1350817996429945,0.48887944723490434
123,2.1277836196207014,0.4756721285141682
124,2.12064635456567,0.46237490101478035
125,2.113674503619295,0.4489889071067735
126,2.106872511166004,0.4355153959406539
127,2.1002447612531925,0.42195572489332095
128,2.09379557191254,0.4083113607807384
129,2.0875291893953563,0.3945838808204346
130,2.081449782335739,0.38077497332737564
131,2.0755614358564034,0.36688643812739175
132,2.0698681456331025,0.3529201866731341
133,2.0643738119345705,0.3388782418485047
134,2.0590822336558947,0.3247627374486446
135,2.0539971023640966,0.31057591732387263
136,2.0491219963755327,0.2963201341774496
137,2.0444603748854293,0.28199784800868355
138,2.0400155721705047,0.267611624194693
139,2.0357907918861295,0.2531641312060891
140,2.031789101479834,0.23865813795392524
141,2.0280134267432586,0.22409651076745132
142,2.0244665465246934,0.2094822100045213
143,2.0211510876243426,0.1948182862988831
144,2.018069519894204,0.18010787645101672
145,2.0152241515641114,0.16535419897167233
146,2.0126171248149234,0.15056054928974416
147,2.0102504116191553,0.13573029463858638
148,2.008125809868472,0.12086686863730571
149,2.0062449398064253,0.10597376558591798
150,2.004609240783639,0.09105453449550667
151,2.003219968351292,0.0761127728766473
152,2.0020781917072776,0.06115212031132743
153,2.0011847915078045,0.04617625183537919
154,2.000540458055473,0.031188871160023696
155,2.0001456898730354,0.016193703762483535
156,2.0000007926701304,0.0011944898767326643
157,2.000105878708301,-0.013805022583692246
158,2.000460866567551,-0.028801085138311398
159,2.001065481315671,-0.04378995585493916
160,2.0019192550794305,-0.05876790643470335
161,2.0030215280147203,-0.07373122923427115
162,2.004371449670636,-0.08867624419324674
163,2.0059679807405497,-0.10359930563551709
164,2.007809895191235,-0.118496808914396
165,2.0098957827593233,-0.133365196872735
166,2.0122240518025705,-0.1482009660907186
167,2.014792932491817,-0.16300067289581524
168,2.0176004803280163,-0.17776093911129917
169,2.020644579967329,-0.19247845752185153
170,2.023922949336079,-0.20714999703699405
171,2.027433144016304,-0.22177240753543603
172,2.031172561881747,-0.23634262437583953
173,2.0351384479633836,-0.2508576725619698
174,2.039327899523029,-0.26531467055268765
175,2.043737871313171,-0.27971083370971916
176,2.0483651810009347,-0.2940434773785905
177,2.0532065147339997,-0.3083100196005073
178,2.058258432826385,-0.3225079834552761
179,2.0635173755422156,-0.3366349990375803
180,2.0689796689559623,-0.35068880507102523
181,2.07464153086812,-0.3646672501663358
182,2.0804990767558844,-0.3785682937319141
183,2.086548325739125,-0.39239000654663125
184,2.092785206542702,-0.4061305710062367
185,2.0992055634371063,-0.4197882810561043
186,2.1058051621403204,-0.4333615418241985
187,2.1125796956648095,-0.4468488689691453
188,2.1195247900946272,-0.4602488877591086
