,r,t,x,y
0,2.999916668287045,0.01,2.999850001249996,0.01999966666833333
1,2.999666692593103,0.02,2.999400019999733,0.03999733338666616
2,2.999250131255813,0.03,2.9986501012469624,0.05999100040499132
3,2.9986670815141427,0.04,2.9976003199829337,0.07997866837326832
4,2.9979176795227493,0.05,2.996250781184899,0.09995833854135666
5,2.997002100372081,0.060000000000000005,2.9946016198056125,0.1199280129588892
6,2.995920558114249,0.06999999999999999,2.9926530007598386,0.1398856946750655
7,2.9946733057946515,0.08,2.990405118907858,0.1598293879383454
8,2.993260635489383,0.09,2.987858199035983,0.17975709839602208
9,2.9916828783484233,0.09999999999999999,2.9850124958340776,0.19966683329365628
10,2.989940404644633,0.11,2.9818682938700904,0.21955660167434962
11,2.9880336238285667,0.12,2.978425907561599,0.23942441457783872
12,2.985962984589106,0.13,2.974685681144364,0.2592682852393897
13,2.9837289749199623,0.14,2.9706479886379116,0.279086229288473
14,2.981332122192027,0.15000000000000002,2.9663132338081266,0.2988762649471985
15,2.9787729932316265,0.16,2.961681850126881,0.31863641322849195
16,2.9760521944046725,0.17,2.956754300728682,0.33836469813399206
17,2.9731703717067473,0.18000000000000002,2.9515310783643645,0.3580591468516484
18,2.970128210859133,0.19,2.946012705351811,0.37771778995300115
19,2.966926437410812,0.2,2.940199733523725,0.39733866159012243
20,2.963565816846451,0.21000000000000002,2.9340927441724447,0.41691979969219917
21,2.960047154700396,0.22,2.9276923479918167,0.43645924616173865
22,2.95637129667669,0.23,2.9209991850161248,0.4559550470703768
23,2.952539128775131,0.24000000000000002,2.9140139245560888,0.4754052528542692
24,2.948551577423385,0.25,2.9067372651319343,0.4948079185090459
25,2.9444096096151644,0.26,2.8991699344035395,0.5141611037843102
26,2.940114233054485,0.27,2.8913126890976715,0.5334628733776623
27,2.9356664963059993,0.28,2.883166314932313,0.5527112971282275
28,2.931067488951417,0.29000000000000004,2.8747316265380913,0.5719044502096712
29,2.9263183417520033,0.3,2.866009467376818,0.5910404133226791
30,2.9214202268171445,0.31,2.8570007096571404,0.610117272886887
31,2.916374357778975,0.32,2.8477062542473224,0.6291331212322355
32,2.9111819899730444,0.33,2.838127030585161,0.6480860567897367
33,2.905844420624979,0.34,2.8282639965850387,0.6669741842816288
34,2.9003629890431335,0.35000000000000003,2.8181181385421366,0.6857956149109028
35,2.8947390768171553,0.36000000000000004,2.8076904710338044,0.70454846655018
36,2.888974108022426,0.37,2.7969820368181035,0.723230863929924
37,2.8830695494303056,0.38,2.785993906729531,0.7418409388259654
38,2.877026910724106,0.39,2.774727179571939,0.7603768302463229
39,2.8708477447206975,0.4,2.7631829820086553,0.778836684617301
40,2.864533647597639,0.41000000000000003,2.7513624684498152,0.7972186559688459
41,2.8580862591257232,0.42000000000000004,2.739266820936925,0.8155209061191404
42,2.8515072629067824,0.43,2.7268972490246552,0.8337416048584215
43,2.8447983866166067,0.44,2.71425498965989,0.8518789301319992
44,2.837961402252797,0.45,2.7013413070580308,0.8699310682224605
45,2.8309981263873443,0.46,2.6881574925765754,0.8878962139310396
46,2.8239104204237333,0.47000000000000003,2.674704864585987,0.9057725707581367
47,2.8167001908582923,0.48000000000000004,2.6609847683378525,0.9235583510829658
48,2.809369389545551,0.49,2.6469985758303642,0.941251776342316
49,2.8019200139672704,0.5,2.6327476856711183,0.958851077208406
50,2.794354107504832,0.51,2.618233522937254,0.976354493765815
51,2.786673759714607,0.52,2.6034575390329495,0.9937602756874735
52,2.7788811066059154,0.53,2.588421211544283,1.0110666824096939
53,2.770978330921112,0.54,2.5731260440914725,1.0282719833062264
54,2.7629676624173403,0.55,2.557573566178517,1.0453744578613184
55,2.754851378149424,0.56,2.5417653330402485,1.0623723958417668
56,2.7466318027533094,0.5700000000000001,2.525702925486806,1.0792640974679386
57,2.7383113087294664,0.5800000000000001,2.5093879497455607,1.0960478735837473
58,2.7298923167255524,0.59,2.4928220373004906,1.1127220458255676
59,2.7213772958176317,0.6,2.476006844729035,1.1292849467900707
60,2.7127687637891507,0.61,2.458944053536438,1.1457349202009626
61,2.704069287406841,0.62,2.4416353699876017,1.1620703210746102
62,2.6952814826926192,0.63,2.4240825249364555,1.178289515884539
63,2.6864080151905236,0.64,2.406287273652878,1.1943908827247842
64,2.677451600227625,0.65,2.388251395647168,1.210372811472079
65,2.6684150031677856,0.66,2.3699766944920952,1.2262337039468676
66,2.6593010396570653,0.67,2.3514649976425477,1.2419719740731194
67,2.650112575859476,0.68,2.332718156252784,1.2575860480369372
68,2.6408525286817106,0.6900000000000001,2.31373804499132,1.273074364443936
69,2.6315238659853732,0.7000000000000001,2.2945265618534654,1.2884353744753823
70,2.622129606785144,0.7100000000000001,2.2750856279715244,1.3036675420430734
71,2.6126728214312185,0.72,2.255417187422685,1.3187693439429462
72,2.603156631774234,0.73,2.2355232070346114,1.3337392700073958
73,2.593584211310821,0.74,2.2154056761887637,1.34857582325629
74,2.5839587853077797,0.75,2.1950666066214626,1.3632775200466682
75,2.57428363090277,0.76,2.1745080322227155,1.3778428902211026
76,2.564562077179292,0.77,2.15373200883283,1.3922704772547134
