,dx,dy,t,x,y
0,-0.02999950000249999,1.9999000008333305,0.01,2.999850001249996,0.01999966666833333
1,-0.05999600007999924,1.9996000133331555,0.02,2.999400019999733,0.03999733338666616
2,-0.08998650060748697,1.999100067497975,0.03,2.9986501012469624,0.05999100040499132
3,-0.11996800255990248,1.9984002133219558,0.04,2.9976003199829337,0.07997866837326832
4,-0.149937507812035,1.9975005207899326,0.05,2.996250781184899,0.09995833854135666
5,-0.1798920194383338,1.9964010798704084,0.060000000000000005,2.9946016198056125,0.1199280129588892
6,-0.20982854201259826,1.9951020005065592,0.06999999999999999,2.9926530007598386,0.1398856946750655
7,-0.2397440819075181,1.9936034126052389,0.08,2.990405118907858,0.1598293879383454
8,-0.26963564759403313,1.9919054660239885,0.09,2.987858199035983,0.17975709839602208
9,-0.2995002499404844,1.9900083305560516,0.09999999999999999,2.9850124958340776,0.19966683329365628
10,-0.3293349025115244,1.9879121959133936,0.11,2.9818682938700904,0.21955660167434962
11,-0.3591366218667581,1.9856172717077325,0.12,2.978425907561599,0.23942441457783872
12,-0.3889024278590846,1.9831237874295762,0.13,2.974685681144364,0.2592682852393897
13,-0.41862934393270945,1.9804319924252742,0.14,2.9706479886379116,0.279086229288473
14,-0.4483143974207977,1.9775421558720845,0.15000000000000002,2.9663132338081266,0.2988762649471985
15,-0.4779546198427379,1.9744545667512539,0.16,2.961681850126881,0.31863641322849195
16,-0.5075470472009881,1.9711695338191215,0.17,2.956754300728682,0.33836469813399206
17,-0.5370887202774726,1.967687385576243,0.18000000000000002,2.9515310783643645,0.3580591468516484
18,-0.5665766849295018,1.9640084702345406,0.19,2.946012705351811,0.37771778995300115
19,-0.5960079923851836,1.9601331556824833,0.2,2.940199733523725,0.39733866159012243
20,-0.6253796995382988,1.9560618294482965,0.21000000000000002,2.9340927441724447,0.41691979969219917
21,-0.6546888692426079,1.951794898661211,0.22,2.9276923479918167,0.43645924616173865
22,-0.6839325706055652,1.9473327900107498,0.23,2.9209991850161248,0.4559550470703768
23,-0.7131078792814038,1.942675949704059,0.24000000000000002,2.9140139245560888,0.4754052528542692
24,-0.7422118777635688,1.9378248434212895,0.25,2.9067372651319343,0.4948079185090459
25,-0.7712416556764654,1.9327799562690264,0.26,2.8991699344035395,0.5141611037843102
26,-0.8001943100664934,1.927541792731781,0.27,2.8913126890976715,0.5334628733776623
27,-0.8290669456923413,1.9221108766215418,0.28,2.883166314932313,0.5527112971282275
28,-0.8578566753145067,1.9164877510253944,0.29000000000000004,2.8747316265380913,0.5719044502096712
29,-0.8865606199840186,1.910672978251212,0.3,2.866009467376818,0.5910404133226791
30,-0.9151759093303304,1.9046671397714268,0.31,2.8570007096571404,0.610117272886887
31,-0.9436996818483533,1.8984708361648817,0.32,2.8477062542473224,0.6291331212322355
32,-0.9721290851846052,1.892084687056774,0.33,2.838127030585161,0.6480860567897367
33,-1.0004612764224432,1.8855093310566924,0.34,2.8282639965850387,0.6669741842816288
34,-1.0286934223663542,1.8787454256947578,0.35000000000000003,2.8181181385421366,0.6857956149109028
35,-1.05682269982527,1.8717936473558696,0.36000000000000004,2.8076904710338044,0.70454846655018
36,-1.084846295894886,1.864654691212069,0.37,2.7969820368181035,0.723230863929924
37,-1.112761408238948,1.8573292711530205,0.38,2.785993906729531,0.7418409388259654
38,-1.1405652453694843,1.8498181197146262,0.39,2.774727179571939,0.7603768302463229
39,-1.1682550269259515,1.8421219880057702,0.4,2.7631829820086553,0.778836684617301
40,-1.1958279839532688,1.8342416456332102,0.41000000000000003,2.7513624684498152,0.7972186559688459
41,-1.2232813591787106,1.8261778806246165,0.42000000000000004,2.739266820936925,0.8155209061191404
42,-1.2506124072876323,1.8179314993497702,0.43,2.7268972490246552,0.8337416048584215
43,-1.277818395197999,1.8095033264399267,0.44,2.71425498965989,0.8518789301319992
44,-1.3048966023336908,1.8008942047053538,0.45,2.7013413070580308,0.8699310682224605
45,-1.3318443208965594,1.7921049950510504,0.46,2.6881574925765754,0.8878962139310396
46,-1.358658856137205,1.783136576390658,0.47000000000000003,2.674704864585987,0.9057725707581367
47,-1.3853375266244488,1.7739898455585683,0.48000000000000004,2.6609847683378525,0.9235583510829658
48,-1.411877664513474,1.764665717220243,0.49,2.6469985758303642,0.941251776342316
49,-1.438276615812609,1.7551651237807455,0.5,2.6327476856711183,0.958851077208406
50,-1.4645317406487224,1.7454890152915026,0.51,2.618233522937254,0.976354493765815
51,-1.4906404135312101,1.7356383593552998,0.52,2.6034575390329495,0.9937602756874735
52,-1.516600023614541,1.725614141029522,0.53,2.588421211544283,1.0110666824096939
53,-1.5424079749593396,1.7154173627276483,0.54,2.5731260440914725,1.0282719833062264
54,-1.5680616867919777,1.7050490441190114,0.55,2.557573566178517,1.0453744578613184
55,-1.5935585937626502,1.6945102220268322,0.56,2.5417653330402485,1.0623723958417668
56,-1.6188961462019078,1.6838019503245374,0.5700000000000001,2.525702925486806,1.0792640974679386
57,-1.6440718103756211,1.6729252998303739,0.5800000000000001,2.5093879497455607,1.0960478735837473
58,-1.6690830687383513,1.6618813582003271,0.59,2.4928220373004906,1.1127220458255676
59,-1.6939274201851062,1.6506712298193567,0.6,2.476006844729035,1.1292849467900707
60,-1.7186023803014439,1.639296035690959,0.61,2.458944053536438,1.1457349202009626
61,-1.7431054816119151,1.6277569133250678,0.62,2.4416353699876017,1.1620703210746102
62,-1.7674342738268085,1.6160550166243037,0.63,2.4240825249364555,1.178289515884539
63,-1.7915863240871763,1.6041915157685853,0.64,2.406287273652878,1.1943908827247842
