,dr,dtheta,r,t,theta
0,-0.01592464370118044,-0.016666018513734532,2.999512206655621,0.01,2.999916668287045
1,-0.03184780577003777,-0.033328147995056775,2.999273342554869,0.02,2.999666692593103
2,-0.04776799734710424,-0.049982498837415346,2.9988752604402547,0.03,2.999250131255813
3,-0.0636837151340236,-0.06662518028578607,2.998317997518158,0.04,2.998667081514143
4,-0.07959343421258241,-0.08325229986195039,2.9976016061300728,0.05,2.997917679522749
5,-0.09549560090983913,-0.09985996278919605,2.996726154004529,0.060000000000000005,2.997002100372081
6,-0.11138862572459442,-0.11644427141625414,2.995691724580058,0.06999999999999999,2.995920558114249
7,-0.1272708763303429,-0.13300132464029335,2.9944984173985394,0.08,2.9946733057946515
8,-0.14314067066971514,-0.14952721732879917,2.9931463485680565,0.09,2.993260635489383
9,-0.15899627015526505,-0.16601803974017615,2.9916356512943,0.09999999999999999,2.991682878348423
10,-0.17483587299127484,-0.18246987694292086,2.9899664764793643,0.11,2.989940404644633
11,-0.19065760763104547,-0.19887880823322723,2.9881389933866656,0.12,2.9880336238285663
12,-0.20645952638390971,-0.21524090655089917,2.986153390370545,0.13,2.985962984589106
13,-0.2222395991859491,-0.2315522378934626,2.984009875668996,0.14,2.9837289749199623
14,-0.2379957075481192,-0.2478088607283865,2.9817086782578133,0.15000000000000002,2.981332122192027
15,-0.25372563869518416,-0.2640068254033427,2.9792500487643094,0.16,2.978772993231626
16,-0.2694270799085366,-0.2801421735544569,2.976634260438643,0.17,2.9760521944046725
17,-0.28509761308563253,-0.29621093751252736,2.9738616101806348,0.18000000000000002,2.9731703717067473
18,-0.3007347095284007,-0.31220913970721403,2.970932419619867,0.19,2.970128210859133
19,-0.31633572497259577,-0.328132792069231,2.967847036246694,0.2,2.966926437410812
20,-0.3318978948696535,-0.3439778954306055,2.964605834591709,0.21000000000000002,2.963565816846451
21,-0.34741832993217553,-0.35974043892310187,2.961209217451088,0.22,2.9600471547003955
22,-0.36289401195372034,-0.37541639937494475,2.9576576171551077,0.23,2.95637129667669
23,-0.37832178991310883,-0.39100174070601834,2.953951496877059,0.24000000000000002,2.9525391287751312
24,-0.39369837637296706,-0.40649241332175784,2.9500913519796494,0.25,2.948551577423385
25,-0.40902034418172295,-0.4218843535059981,2.94607771139591,0.26,2.9444096096151644
26,-0.4242841234877577,-0.4371734828130957,2.941911139041535,0.27,2.940114233054485
27,-0.43948599907387453,-0.4523557074596896,2.9375922352554724,0.28,2.9356664963059993
28,-0.45462210801970093,-0.4674269177165279,2.9331216382655527,0.29000000000000004,2.931067488951417
29,-0.4696884376990734,-0.48238298730084567,2.9285000256758105,0.3,2.9263183417520033
30,-0.4846808241188868,-0.4972197727698495,2.9237281159721342,0.31,2.9214202268171445
31,-0.49959495060529147,-0.5119331129159277,2.918806670042801,0.32,2.9163743577789756
